epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,0.165726,0.916057,0.180148,0.906712,1e-05,68.24
2,0.116785,0.936798,0.126069,0.945392,9.972609476841368e-06,68.22
3,0.095755,0.954124,0.12878,0.940842,9.890738003669029e-06,67.18
4,0.092156,0.956564,0.116533,0.954494,9.755282581475769e-06,65.75
5,0.077815,0.967057,0.11353,0.952218,9.567727288213003e-06,65.7
6,0.075552,0.964373,0.103606,0.960182,9.330127018922194e-06,66.12
7,0.07254,0.967301,0.094195,0.969283,9.045084971874737e-06,65.16
8,0.057218,0.971694,0.100145,0.955631,8.71572412738697e-06,65.52
9,0.056361,0.97267,0.086441,0.971559,8.34565303179429e-06,67.57
10,0.06988,0.964373,0.098729,0.954494,7.938926261462365e-06,68.12
11,0.055641,0.976574,0.095662,0.96587,7.499999999999999e-06,65.88
12,0.055789,0.975354,0.08295,0.967008,7.033683215379001e-06,66.48
13,0.049141,0.976086,0.090039,0.964733,6.545084971874737e-06,67.79
14,0.050669,0.977062,0.091266,0.964733,6.039558454088796e-06,68.74
