epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,0.133062,0.948267,0.078243,0.971559,0.0001,75.54
2,0.075058,0.971449,0.101071,0.960751,9.890738003669029e-05,71.73
3,0.054128,0.981454,0.113154,0.956769,9.567727288213005e-05,74.74
4,0.048523,0.982308,0.043322,0.984642,9.045084971874738e-05,74.48
5,0.0497,0.983163,0.039961,0.985779,8.345653031794292e-05,76.64
6,0.026662,0.990483,0.034252,0.989192,7.500000000000001e-05,76.39
7,0.039437,0.987067,0.035877,0.988055,6.545084971874738e-05,72.32
8,0.028382,0.989873,0.034718,0.992036,5.522642316338269e-05,69.89
9,0.018596,0.994876,0.037362,0.989761,4.4773576836617344e-05,70.09
10,0.016926,0.994143,0.031853,0.989192,3.454915028125264e-05,70.18
11,0.016202,0.995486,0.03935,0.989192,2.5000000000000018e-05,70.79
12,0.016648,0.994265,0.034276,0.990899,1.654346968205711e-05,69.79
13,0.015043,0.99512,0.03418,0.989761,9.549150281252635e-06,69.95
